text,actual_sentiment,predicted_sentiment
i was always a frequent patron of starbucks especially this location because it s so conveniently located to my house i just can t fathom paying starbucks prices anymore when there s so many other delicious local coffee spots in this area the inconsistency of their beverages and breakfast sandwiches is unbelievable no matter what kind of hot coffee you get it almost always taste burn all iced drinks come with entirely too much ice even if you ask for light ice and i ve bit into way too many cold centered breakfast sandwiches maybe they have gotten so mainstream and overly popular that they just don t put any care into what they are giving their customers anymore i d much rather go a few minutes out of my way to coffee places like bandit or black crow for a quality cup of coffee,negative,negative
parking is impossible not sure why i even pull into the lot when its backed up on the main road which is a little dangerous,negative,negative
great service full cup coffee justin and fabl are working amazing good location and good coffee,positive,positive
good furniture i like this location because they feature the most comfy chairs and couches of any starbucks in south tampa that makes hanging out here a pleasure the menu is the same as anywhere else and the staff turns over so what else can you say if you want to linger then this one is your starbucks location to choose it s also next to a panera bread if you want a pastry or sandwich and don t like any of the starbucks offerings,positive,positive
extremely sweet baristas this starbucks is always so friendly and clean drinks are great too,positive,positive
out of green tea in the middle of the day when it s and sunny you re better than that starbucks on the plus side after waiting minutes the barista who brought it out was super friendly,neutral,positive
i ve been here several times and the service does not get any better today server sailor advice me not to get a specific drink because she didn t know how to make it so i had to change my order thanks to her overall she still messed up my order,negative,negative
oh starbucks how do i love you let me count the ways you have helped me numerous times during long shifts at work and more recently during the post thanksgiving sales in which i had to show up at the mall at am for work and for that i thank you i can not wait until we meet again for yet another hour shift yay for seasonal flavors,positive,positive
these guys made my day they were all smiles and positivity i made the mistake of sending my preorder to another location and they made it for me at glenn and campbell super fast on the spot they always make me feel welcome here it also felt very clean and safe plus they gave me a free holiday cup it doesn t get any better than that,positive,positive
i came for the wi fi as pjs coffee has lacking wifi power just a few shops down the road there was ample seating and my regular coffee was promptly handed to me creamer bar was well stocked clean floor and loud music like all the other homogonize starbucks you have ever been too,neutral,positive
i never met a starbuck s that i didn t like until this one they were shorted staffed the morning that we visiting apparently an employee had wandered off leaving the other to fend for herself service was decent considering our beverages were good but seriously i was almost no longer in the mood that s how long it took to get them,negative,negative
worst baristas in town not only did they not follow the simple instructions for a latte on the side of the cup but they short changed me by a half a cup,negative,negative
the lady works in the counter for making drinks in the morning on sunday seems to be very mean or racist i said to the male employee that i wanted the drink to have no ice and he wrote it on the cup it was understandable that she mistook it for having ice but after i asked her to take the ice out she didn t even say a word with the mean face and took the ice out silently i said thank you to her and she still didn t want to say a word to me with the mean face but she said have a great day with a large smiley face to the white customers before and after me i m wondering if this is the overall starbuck employees attitudes to people with different color,negative,negative
busy and central location makes this a coffee stop and social event this location is open longer than the close by peets or the other starbucks in the la cumbre mall across the street the staff always keeps a good pace and sets a high standard for the slower starbucks,neutral,positive
eew l just paid for a triple macchiato that tastes like nothing but milk no espresso in sight despite paying for extra espresso a mocha frappuccino that is basically ice and chocolate syrup you can even see the ice visibly separated from the syrup not in the least appetizing and a mocha that tastes like chocolate water first and last visit,negative,negative
normally starbucks is great consistent from location to location right well sadly not the case this location seems to struggle with the basics order a standard drink straight from the menu with no modifiers you should be ok i say should because some times they end up on the mobile stand when ordered via drive thru now if you order any drink with modification might as well skip this location something will be off wrong milk type or leave out the espresso not exaggerating calling won t change much as i ve done that head over to th street if you d like to get what you ordered if you want to roll the dice come here,negative,negative
zero sense of urgency in a place where you need it the most at an airport gate focus should be on expediting orders as quickly as possible line of about took me about minutes to arrive at the cashier then another minutes waiting for my food totally unacceptable and happens way too often at starbucks if the coffee wasn t so good i would never come here you re hanging on by a thread starbucks improve your ordering system and now,negative,negative
had a very nice experience here this morning we were pleasantly surprised they were open at am great coffee nice breakfast sandwich of egg white and turkey bacon on an english muffin very sweet young lady answered my menu questions and was quite charming you will find them by gate e,positive,positive
walked in this past week to the new starbucks out of morbid curiosity i was not acknowledged at all while the store was basically empty minus one guy on his laptop i waited a minute and a half to get service at the counter where i was rudely served my regular drip coffee was horrid and the service was even worse no actually check that the worst part about this whole thing is that there is another coffee shop in the same building the guy over there was super nice helpful and his coffee was outstanding apparently he has been in the building for years when tarbuck moved in what a bunch of greedy people not only am i never coming here again for my daily coffee i ll just walk an extra steps to get much better coffee and much better service p s if you don t like the other little guy in the building there are literally other places within a foot radius this was a poor job in picking out locations shame ding ding,negative,negative
this starbucks location is so busy especially in the mornings as it is the only north valleys location it is conveniently located right next to a freeway exit and has a drive thru going through the drive thru is definitely quicker than going inside i usually mobile order ahead though and this nearly always works for me but when the sticker machine was broken or my drink was wrong the employees at this location always made things right,positive,positive
the location of this starbucks is not the greatest you d think with it being right off i it would be but it s very difficult to get out especially if you have to make a right hand turn onto ina the staff is very friendly though and that makes up for the traffic problems,positive,neutral
this location has the same menu as most this is a very small store they had plenty of employees and they were fine as far as doing their jobs however i never saw a smile the reason i am giving them stars is the floor was dirty the line floor where they were working was filthy and the cream sugar area was dirty with overflowing trash must be in need of a new manager if it were my store some heads would roll it s christmas time would a smile be too much to ask for,negative,negative
just moved to roxborough and i walked there after going to the bank very friendly staff they complimented my accent and gave me great service i shall return,positive,positive
if you ve been to one starbucks you ve been to them all when it comes to the food drinks prices and the overall appearance we stopped by at around pm to do some studying work and just bought a cookie it was perfectly toasted and delicious what i love about this starbucks is there is plenty of seating there s large shared tables bars small tables etc there are also outlets everywhere like some of the starbucks in my area the staff try to make the atmosphere more welcoming this starbucks also has a riddle of the day where you can ask the barista for the answer and a bookshelf in the back to leave take a book as well as some games the parking lot is not proportional to the number of seats in the starbucks but luckily it was not busy so we were able to get a spot they also have reserved parking spaces for those just stopping in for mobile orders or anyone who was only parking for minutes for any night owls that prefer to grind do work later in the day i would recommend this location,positive,positive
the customer service is at it s finest at this starbucks the manager paul is one of the kindest people that i have met in philadelphia his service goes above and beyond you definitely leave with a smile,positive,positive
drive thru is super convenient but can be slow especially during the weekday mornings seems understaffed at times but so far havent had an issue with an order,neutral,positive
this is the location in canal place line moved quickly and i ordered the peppermint hot cocoa the cashier rang me up then a barista said we only have skinny mocha for hot chocolate i m not a regular visitor but how do you not have enough syrup to make the hot cocoa especially on a cold day,negative,negative
the staff in this location are great always friendly welcoming it is a very small location and sometimes very cramped so unless it s not a grande pike i am ordering i pre order through the app i love this in the summer they have a patio that is nice to sit in no way would i chill inside and have a coffee way to cramped,positive,positive
this morning i went into starbucks excited because i have an interview and what better way to start my day than with starbucks i was terribly mistaken i ordered a vanilla iced chai latte with almond milk the milk was extra moldy so i nicely went over and said miss i think your almond milk is bad she says have you ever had it with almond milk before and it says it doesn t expire until in my head i m thinking miss why does the expiration date matter when you can clearly see lumpy milk in my drink she then proceeds to have this girl with crochet braids in her hair her braids have nothing to do with this but if a manager happens to see this then you know who i have been dealing with all morning make me a new drink and pretty much she just gave me a cup of milk i really could scream because this is not the way i wanted to start my day especially with an interview this morning i almost never right a review but i had to get this off my chest especially when i spent in there this morning btw the girl i spoke of earlier also rolled her eyes at another customer service was just terrible from this location this morning,negative,negative
awful service ordered ahead on my phone and still had to wait minutes for my drink that turned out wrong when i told the barista it wasn t supposed to be iced he said oh next time it will be in the house right,negative,negative
this is probably the worst starbucks i ve ever been to but that isn t the fault of the workers there i feel quite bad for them it s always so incredibly busy and they are always short staffed i don t know if this location is just trying to save some payroll or what but management needs to reevaluate their staffing needs kudos to the staff for dealing with it,negative,negative
they forgot my drink and she rudely said i would have gotten that walked off asked again and then they finally made it,negative,negative
was really excited when this starbucks opened because it was so much more convenient than the glasgow location was hoping as time went on they would work out the kinks and get in a groove couldn t have been more wrong i almost always have to repeat my drink order times because the person taking my order is also making drinks they are constantly running out of something brews cups etc today my egg bites came in an oatmeal cup i thought it was oatmeal so i circle back and go in only to be told we were out of the egg bite trays we should have told you they never have enough staff and the drive thru takes forever find another starbucks on your route and skip this one,negative,negative
starbucks always has good customer service the best variety menu comfortable and never disappoints,positive,positive
i smellllll cough feeeee say it with an new york accent it s fun,positive,positive
while they focus on getting the cars through the drive through in a timely manner they lose focus on what a five dollar cup of coffee should be i gave them two tries and i got quite possibly the two worst cups of coffee i ve ever had a call to the store with my frustration was met by a very young and sharpie voice telling me to come back and let them remake my cup of coffee doesn t that defeat the purpose the bottom line isif you re looking for a good cup of starbucks coffee and have a few extra moments make the drive to winthrop,negative,negative
i love that this starbucks is soo close to work i get a grande hot chocolate and everything bagel with cream cheese almost every morning i know super unhealthy right anyway the point is this place gives me my breakfast and i like the baristas here they are super friendly and nice,positive,positive
very busy good food and coffee as usual if you don t mind fighting your way through the drunk homeless sitting out front begging for your change then it might be worth it,negative,positive
the slowest drive thru ever minutes in line not acceptable maybe more staff need to speed it up,negative,negative
hands down the best customer service in the industry right here my wife and i have been coming to this location for years and always have an incredible experience with the employees when we come in huge shout out to parker for always being friendly and always making the best drinks this will always be our coffee spot,positive,positive
every time i have been in this starbucks there s no more than a few people in front of me and at least one table free i m sure it s a busy location but i ve been fortunate it hasn t been crazy busy there can be a few others by the milk area but it clears up quickly i usually get the refresh tea for and like the mint taste the staff are friendly and efficient the last time i came most people were seating on the patio so there was available indoor seating the locations makes this one of my favourite starbucks it s close to fun shops to check out and great to stop in for a mid shopping drink there are benches outside if it s too busy inside parking lot can get busy but there s residential streets that you can likely find a spot and enjoy a little walk,positive,positive
i m a pharma rep and am always ordering a lot of drinks when i go in today this location was especially busy but the baristas were still so kind and helpful despite the fact that i had to place a drink order they worked quickly to get me all my drinks and make sure everything was right i appreciated their pleasant demeanor and helpfulness,positive,positive
i mean in terms of starbucky ness it s fine and since they take so long to make a latte you can place your order head over to the pharmacy to grab a few things you ve been neglecting or forgetting to get the last times you ve been to fry s pay then head back just in time to grab your drink and go maybe that s just me,positive,negative
i met a friend here once a week and the service is always quick but not very personal there are so many people here is hard to find a place to sit not a good place to work but a great location and fast service,positive,positive
i wish they had more seating this place has a great warm cozy vibe i m pretty certain if they had comfy seats it would be hard to get people me to leave i m guessing it caters to the millions of people who work here in the comcast building which totally makes sense vs the occasional passerby who wants to sit relax for a while otherwise it s a starbucks just like any of their other places as far as drinks food goes,positive,positive
this starbucks is in a great location but don t be surprised when you go here and wait upwards of minutes in a short drive thru line the wait times are always awful,negative,negative
this is the single handed slowest starbucks location i ve ever been to i ve come here multiple times and always wait min plus i ve tried different times of day the drive through going inside etc i hate to leave a negative review because i am not that kind of person i am very patient but from a business standing point of view something absolutely needs to change here i pulled up to the drive through at and then got half way by i was just about to round the corner into the part of the drive through that i would not be able to leave from after min of sitting i looked at the clock and realized the cars in front of me would take at least another so i left without anything this area is busy yes but i have years of bartending and barista experience and this entire staff moves very slow they are in need of some all star baristas added to their team for a reformation of speed and multi tasking sorry for the negative review but something needs to change at this place as it is beyond making excuses for at this point,negative,negative
don t order a cappuccino they don t know how to make foam i specifically requested an extra dry cap and got extra bubbly milk that resembled a milkshake customer service was good just need more training on how to make proper foam it s not that hard don t think i ll be coming back since it was for a drink that wasn t authentic that s conglomerates for you,negative,negative
they just opened last year and every time we pass by they are alway super super busy the line is always at least people but they actually move pretty fast because they have enough people working so that s good if you like starbucks then make sure stopping by when you are shopping,positive,positive
i really dont see the thrill of coming to starbucks and their customers are the worst uppity rude and impatient to say the least some of the worst drivers and parkers good news is they come here so i choose to go somewhere else i refuse to follow the cult,negative,negative
although it has starbucks in the marquis the experience ends there the two stars as follows clean it s a starbucks there is another option on the delta side smaller but better this one has a sitting area and tables the delta side does not,negative,positive
not up to the high standards of service that most starbucks are know for i ordered a triple grande caramel mach and when i got it it felt like only two thirds full i was in a hurry so i didn t complain as i should have as i was leaving i stopped to go to the restroom and a pregnant young woman coming out warned me there was no toilet paper i went into the other restroom and it was also out of paper and dirty very disconcerting,neutral,negative
if you re looking to get work done do not come to this starbucks for a solid half hour they were playing extremely loud rock music complete with a lot of yelling that was blaring throughout the store the music was quiet at first and at a bearable level and then one of the employees it turned it to the highest possible volume i looked around at the other patrons there and everyone seemed equally as annoyed this is probably the rd time the high volume of the music has made me left this store i will not be coming back,negative,negative
if i could give this location zero stars i would every day for the last months i come here to get cold brew i wait in the min hr long drive through not an exaggeration and i get my cold brew if you try to go inside and order you are still waiting for all the drive through food to be prepared so it takes a long time as well inside as of a couple months ago they just run out of cold brew so i now wait an hour sometimes in the drive through to not get a cold brew unless they decide to just give me an iced coffee without telling me i don t understand how you run out of a cold brew every day for two months and don t start preparing several batches the night before worst starbucks in all of florida and possibly even the us,negative,negative
today we got two kids size chai teas one vanilla latte one cold brew one of the kids chais was milk and the other had chai i told the cashier and asked for a cup to mix the two together so they could each have some of the chai mix she gave me the cup without offering to fix their drinks the cold brew ended up being a nitro which we did not want never had this kind of experience with starbucks,negative,negative
terrible wait time to pick up a coffee need to speed up service multiple cashiers or another drive thru no straws and asked for half syrup but not half,negative,negative
for the most part this location does a decent job in delivering good temperature appropriate food beverages on many occasions they ve forgotten to give napkins condiments and or handed items out of the window one by one rather than putting everything into a bag i know there s a pandemic going on and shortages on supply but let s think logically and give the customers what they need,neutral,negative
tends to get crowder but i need my daily fix i like this location because of the close proximity to the turnpike and route also has outdoor seating and better parking than the starbucks that s closer to my office,positive,positive
sure starbuck s is starbuck s but it s all about the customer service one time i ordered a venti iced soy chai tea latte and got an are you effing kidding me look from the guy behind the counter what s wrong with a chai latte iced with soy i don t think i m being that high maintenance i did have to smile to myself however when he spilled it just as he was putting the lid on and had to re make it also for some reason this location does not make iced coffee in winter when i ordered it i was told they don t make it in winter but she could make it another way for me if i liked so i said yes and i don t know what she did but it was about times better than their regular iced coffee ok so this is a plus but i still hate the place also i ve witnessed who i assume is the manager berating an employee on the phone for being late once again right in front of the customers which i thought was extremely unprofessional overall poor service it s never speedy and i m usually worried they are going to get some aspect of the drink wrong saw a guy wait so long for his misto he had to leave before it was ready lame,negative,negative
it is great to have a starbucks in the silver legacy it is the same as other starbucks the real advantage here is the location,positive,positive
there is a minute wait every time i go through the drive through and times out of they get my drink wrong the only reason i go back is because it s close to my college,negative,negative
on my travels on canal street i d pass the downtown sheraton starbuck s sign today i gave it a try it is located at the canal street entrance i came at a busy time they were fast and too busy to be friendly i had a choice of plush chairs tables and bar chairs overlooking canal street with the marriott i chose the bar chairs i got plenty of sunlight which probably kept my coffee warmer and did some great people watching,positive,positive
i go here all the time and there is literally never the same employees very confusing not sure if it s a training store or what sadly my cloud macchiato was completely wrong today even more sad i expected it because my orders have been messed up in the past every employee i ve come in contact with is super nice though,neutral,negative
as others has said this is by far one of the slowest locations i ve ever been at one person working taking orders and working as a cashier the majority of my time in the drive thru was listening to her taking orders a definite need for more help or training my frappe was very good but melted a little while i waited to be served,neutral,negative
i love this starbucks my favorite place to study the baristas are so friendly happy and frequently give discounts and freebies to regulars and free samples of food to everyone also i ve never not been able to find a place to sit outlets are usually available only a handful of times have i had to wait about half an hour for one to open up also when the weather s nice there s a great covered porch outside with lights and ceiling fans and outlets it s true that their internet is restricted to t mobile at t sbc customers but i think that actually keeps the place from getting overcrowded with students during peak study times i suppose they go to pjs or rue instead however if you know someone with a password for one of those providers you can use it unlimitedly i ve shared my password with a friend there and we were both able to log on using it at the same time i would love to support local coffee shops and i ve tried but all the places close to me have fatal flaws too crowded and no tables during peak hours times rue on carrollton too few outlets and trash all over the place pjs on maple apathetic bordering on rude sometimes baristas terribly low lighting too few outlets rue on magazine zots way too dark,positive,positive
horribly slow when it was almost empty and a bunch of degenerates hanging around,negative,negative
you might say that a starbucks is a s starbucks and in many ways you d be right the difference here is the staff super friendly and fun,positive,positive
i hate to say it but while at a comic convention at the nugget i stopped by the starbucks to get an iced latte and what i got was a five dollar cup of ice it was literally so packed full of ice i could not insert the straw i don t know if the barista was new if this was just a mistake or if starbucks tells its employees to do this but i m kind of angry that i paid five dollars for essentially ounces of latte i guess the moral is when at starbucks make sure to ask for less ice or no ice so you get your money s worth,negative,negative
we stopped in for a iced tea on a very warm day customer service was good my tea was good as well the store felt very warm inside and we ended up going out and sitting in the car with air on to cool off,neutral,positive
speedy and friendly service excellent customer service and great food highly recommend,positive,positive
ordered a breve latte got something else with half the cup filled with foam staff was busy but apparently too busy to fix my order,negative,negative
thank you doth such a place share such an idea with a complement reader seeks a very refined polite female acquaintance who may further an incomplete introduction to society though discreetly background,neutral,positive
go off peak hours or plan to wait in line if you re not in a rush this is a great place to meet read work their staff is friendly,positive,positive
stopped here to get some coffee real quick i was happy they had a drive through the guy at the drive through made my day with his sense of humor,positive,positive
most unorganized and dysfunctional starbucks i have ever been to as a gold member nothing makes my day more than my afternoon coffee workers are rude and appear as they don t want to be bothered staff is overwhelmed with the massive drive through line and there have been several times they have told me they can t make my drink due to them being out of certain things such as cold brew and sweet cream not your typical starbucks that s for sure something is always off at this one very disappointing,negative,negative
these guys love me and i love them too i come here every weekend this place is always packed because it s right across the street from a college feel free to chat with the staff when it s chill they re all really cool i also recommend the lemon loaf holy cow so good,positive,positive
love going to this starbucks always greeted by bradley s great personality they always make my drink exactly how i like it drive thru however slow at times,positive,positive
i come to this at starbucks drive thru pretty religiously since it s close to work and they have the friendliest baristas i usually see the same guy and thought man he s really friendly but then i ve had a few other people mixed in where i drove away delighted at how friendly and outgoing they are,positive,positive
super quick when you re in need of some caffeine and breakfast first thing in the am,positive,positive
parking can be difficult during morning hours drive thru is your best bet,positive,positive
i do not usually rate stars unless everything is excellent the service is stars one of the best americanos i have ever had they treated me with respect and answered all of my crazy questions calmly and comfortably the atmosphere is calm and inviting i travel a lot and have never been more satisfied thank you guys and gals for an amazing experience,positive,positive
it s a starbucks by name not quality all the food prices in the case are covered so you don t know how much they are charging for the food,negative,negative
so i know there are a lot of neighbors refuse corporate brews campaigns around and in a coffee city why choose starbucks first of all i like the consistency in flavor and price i can t do cc s coffee flavored water and pj s is over a dollar more for the type of drink i order but all of that aside i will go out of my way to go to this starbucks location because it is a wonderful oasis where everyone is friendly and efficient and things are clean and orderly and there is lot of safe parking the baristas baristos they ve always been all men in my experience kind of give off that douchey i m super knowledgable about coffee vibe but they seem to care a lot about customer service and that is an a in my book,positive,positive
my favorite starbucks of all it is such a beautiful building inside and out what they did to the inside of the place is amazing it makes me want to hang out there and just people watch even though i have to get back to work the staff there is super friends and they seem like they really take pride in preparing great beverages even when the place has a line almost out of the door i love the wall of coffee and coffee drinking accessories when you walk in it s hard to resist buying some of that stuff when you are waiting in line the case that the pastries is in is very pleasing to the eye thank god they have the calories posted next to each type of goodie or i might put some weight on from my frequency of visitation it s nice to look at not nice to my waist line although i would like to suggest to the owner of that location that it would be awesome if they had some kind of deal with a nearby bakery that provided them with king cake but i don t know starbucks probably has a conglomerate code that would interfere with that kind of thing,positive,positive
drum roll please review coming right up i chose to review starbucks as my th review because it is a guilty pleasure something that i only allow myself once a week but something that i crave everyday this particular starbucks is great the baristas are always friendly and welcoming the drinks are made correctly and quickly i usually go with a salted caramel hot chocolate or mocha i also occasionally order the white mocha if you can t tell i enjoy coffee that doesn t taste like coffee in the summer their iced teas are the perfect thirst quencher their breakfast pastry items are always delicious try the cranberry orange scone and you will not be disappointed their breakfast sandwiches are unique and pretty tasty as well i always choose to go in and place my order over sitting in the drive thru the line for their drive thru is always ridiculously long it s usually quicker to go in,positive,positive
big open windows great customer service and clean atmosphere if i was to have a business meeting this would be a nice location in which there are multiple tables for occupants,positive,positive
orders are consistently wrong extremely slow service stay away how this place is still in business is beyond me,negative,negative
slow and slower don t understand why it takes them mins to make a green ice tea need better management,negative,negative
first time here yesterday wasn t busy at all friendly staff quick service one of the best starbucks i ve ever been to service with a smile that s the way it should be and the way it is here,positive,positive
it s a starbucks you know what their coffee tastes like meh and what their prices are like high so i ll tell you why this became my starbucks they recently renovated the seating and it s a great study spot reliable wifi big tables in the middle a comfy couch in the corner and seating all alongside the window read convenient outlets and people watching huge improvement to the awkward tiny circular tables they had before it can get randomly crowded sometimes why any family would decide to bring all their children here for an afternoon or why a mom would bring teens to drink frappucinos is beyond me the barristas are nice one of them made fun of me for having been there every day for a week when writing the paper that wouldn t die i appreciated that he noticed i still prefer independent coffee shops like citadelle or toast but when i m too lazy to go that far this will do plus i m a sucker for that passion iced tea in the summer get it half sweetened it s better and for it s pretty good,neutral,positive
drive through starbucks newly located on hampton staff was friendly first time i ve ever been asked what my name was while ordering friendliest service i have received at any starbucks,positive,positive
wonderful location of starbucks friendly staff consistent drinks clean lobby and service may be slow at times but staff work with great sense of urgency and awareness all in all seattle would be proud,positive,positive
this is my favorite starbucks ever thanks to the barista her name starts with a c i believe who made my drink a double shot on ice perfectly and without a second thought or even an eye roll she seemed happy to be there the manager at the counter however named jeff was absolutely rude to me he acted visibly annoyed with me while taking my order and had a mocking tone to his voice i could tell he didn t want to deal with me i was polite as can be but he definitely woke up on the wrong side of the bed seems to me like the barista and manager should switch positions she is much more customer friendly than he is and served me with sweet hospitality and a warm smile she is the only reason i will return,neutral,positive
visited this starbucks on veteran s day my best friend is a veteran and we thought we would go check their special for a free cup of coffee for veterans my friend went to order and asked about the veteran s day coffee a barista rudely said back to my friend um excuse me what are you even talking about there was a sign right in front of her about the special the barista then looks at the sign and says oh is today even veteran s day then asked for my friend s military id three individual times not a very nice way for my friend to spend her day disgusted by the way this barista treated my friend her name was tess refusing to come back to this location due to her behavior disgusted and ruined my friend s day,negative,negative
first off having a starbucks in the hospital is a great idea second it s a horrible idea to have badge pay in there i think i ve spent a little too much because i lack self control when it comes to starbucks and with a swipe of my badge it s paid for yes i know its my own fault i understand starbucks isn t everyone s favorite but i do enjoy a wonderfully made flat white unfortunately it s impossible to get a flat white here that tastes even half way decent on the rare occasion that i work at the downtown renown i always like to stop by and grab a coffee but the last times i have gone in and ordered my beloved flat white it has been terrible usually it s smooth and not bitter and although it has no syrup in it it s strictly espresso and milk i prefer the coconut milk it gives a little different taste it has a little hint of sweetness but it seems the espresso is always burnt when i order one here so the smoothness is taken away and it just tastes like a burnt cup of disgusting but i do choke it down because i need that caffiene i have decided i will not be ordering this particular drink from them overall they have good service the wait is longer here than in other starbucks i feel but it is convenient to be able to stop and get coffee here rather than make an extra stop on the way to work now if they could just make the flat white correctly,negative,negative
this is my favorite time of the year since all the holiday flavors come back it makes it harder to decide what to order the employees were super friendly and patient i kept making edits to my order and the girl helping me was more than happy to fix it yes i was that person today service was super fast even though the store was busy to drink i ordered a lite half caff salted caramel mocha with no whip the drink was perfect i ordered a premade bacon chicken sandwich with my drink the sandwich tasted really good but was a little on the drier side even though it stated there was a mustard sauce on it,positive,positive
my partner and i are really sick sore throat and all we stopped at this starbucks and were delighted to meet this amazing barista named natasha five stars for her amazing personality beautiful smile and exceptional customer service skills,positive,positive
customer service is alive and well at this starbucks location i had a problem with my starbucks reward card and went to speak to the manager on site felicia she took care of me very kindly and graciously apologized for the mistake wow this doesn t happen now a days love their service and coffee they will have a loyal customer here,positive,positive
new orleans is not the kind of place to go to starbucks at least not in the french quarter this starbucks inside the shops at canal place is testament to why three different visits over five days uncovered a disorganized order handling drink distribution process and some spoiled chai spoiled as in bad as in fermenting as a gold card carrying starbucks evangelist this store left me nonplussed the baristas were nice enough but i suppose it s hard for them to deal with all the personalities that come along with the tourist crowd that i m sure they almost exclusively see i just didn t feel the love ever here s to improvement,negative,negative
